# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Intel and sold by Intel or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus Prime Version 17.0.0 Build 595 04/25/2017 SJ Lite Edition
# File: C:\Users\Reishi Mitani\Documents\MAX10FT600CIS3\output_files\CIRS.csv
# Generated on: Fri Oct 23 18:09:01 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
RXF,Input,PIN_90,6,B6_N0,PIN_90,2.5 V,,,,,
STAT[7],Output,PIN_28,2,B2_N0,PIN_28,2.5 V,,,,,
STAT[6],Output,PIN_27,2,B2_N0,PIN_27,2.5 V,,,,,
STAT[5],Output,PIN_26,2,B2_N0,PIN_26,2.5 V,,,,,
STAT[4],Output,PIN_25,2,B2_N0,PIN_25,2.5 V,,,,,
STAT[3],Output,PIN_23,1B,B1_N0,PIN_23,2.5 V,,,,,
STAT[2],Output,PIN_22,1B,B1_N0,PIN_22,2.5 V,,,,,
STAT[1],Output,PIN_21,1B,B1_N0,PIN_21,2.5 V,,,,,
STAT[0],Output,PIN_20,1B,B1_N0,PIN_20,2.5 V,,,,,
TXE,Input,PIN_91,6,B6_N0,PIN_91,2.5 V,,,,,
USBX[15],Bidir,PIN_105,6,B6_N0,PIN_105,2.5 V,,,,,
USBX[14],Bidir,PIN_106,6,B6_N0,PIN_106,2.5 V,,,,,
USBX[13],Bidir,PIN_110,7,B7_N0,PIN_110,2.5 V,,,,,
USBX[12],Bidir,PIN_111,7,B7_N0,PIN_111,2.5 V,,,,,
USBX[11],Bidir,PIN_117,7,B7_N0,PIN_117,2.5 V,,,,,
USBX[10],Bidir,PIN_100,6,B6_N0,PIN_100,2.5 V,,,,,
USBX[9],Bidir,PIN_118,7,B7_N0,PIN_118,2.5 V,,,,,
USBX[8],Bidir,PIN_120,7,B7_N0,PIN_120,2.5 V,,,,,
USBX[7],Bidir,PIN_123,8,B8_N0,PIN_123,2.5 V,,,,,
USBX[6],Bidir,PIN_127,8,B8_N0,PIN_127,2.5 V,,,,,
USBX[5],Bidir,PIN_129,8,B8_N0,PIN_129,2.5 V,,,,,
USBX[4],Bidir,PIN_131,8,B8_N0,PIN_131,2.5 V,,,,,
USBX[3],Bidir,PIN_132,8,B8_N0,PIN_132,2.5 V,,,,,
USBX[2],Bidir,PIN_133,8,B8_N0,PIN_133,2.5 V,,,,,
USBX[1],Bidir,PIN_140,8,B8_N0,PIN_140,2.5 V,,,,,
USBX[0],Bidir,PIN_141,8,B8_N0,PIN_141,2.5 V,,,,,
WR,Output,PIN_102,6,B6_N0,PIN_102,2.5 V,,,,,
PD1,Unknown,PIN_52,3,B3_N0,,,,,,,
BUSYAD0,Unknown,PIN_42,3,B3_N0,,,,,,,
SCLK0,Unknown,PIN_49,3,B3_N0,,,,,,,
SCLK1,Unknown,PIN_74,5,B5_N0,,,,,,,
SDOUT0,Unknown,PIN_50,3,B3_N0,,,,,,,
SDOUT1,Unknown,PIN_75,5,B5_N0,,,,,,,
SDIN0,Unknown,PIN_51,3,B3_N0,,,,,,,
